name,path,size,file_or_dir
.git,C:\Users\georg\first_project,28809913,directory
.idea,C:\Users\georg\first_project,13994,directory
venv,C:\Users\georg\first_project,83757863,directory
README.md,C:\Users\georg\first_project,80,file
requirements.txt,C:\Users\georg\first_project,94,file
hooks,C:\Users\georg\first_project\.git,23513,directory
info,C:\Users\georg\first_project\.git,240,directory
logs,C:\Users\georg\first_project\.git,7616,directory
objects,C:\Users\georg\first_project\.git,28351356,directory
refs,C:\Users\georg\first_project\.git,82,directory
COMMIT_EDITMSG,C:\Users\georg\first_project\.git,28,file
config,C:\Users\georg\first_project\.git,309,file
description,C:\Users\georg\first_project\.git,73,file
FETCH_HEAD,C:\Users\georg\first_project\.git,104,file
HEAD,C:\Users\georg\first_project\.git,23,file
index,C:\Users\georg\first_project\.git,426528,file
ORIG_HEAD,C:\Users\georg\first_project\.git,41,file
applypatch-msg.sample,C:\Users\georg\first_project\.git\hooks,478,file
commit-msg.sample,C:\Users\georg\first_project\.git\hooks,896,file
fsmonitor-watchman.sample,C:\Users\georg\first_project\.git\hooks,4726,file
post-update.sample,C:\Users\georg\first_project\.git\hooks,189,file
pre-applypatch.sample,C:\Users\georg\first_project\.git\hooks,424,file
pre-commit.sample,C:\Users\georg\first_project\.git\hooks,1643,file
pre-merge-commit.sample,C:\Users\georg\first_project\.git\hooks,416,file
pre-push.sample,C:\Users\georg\first_project\.git\hooks,1374,file
pre-rebase.sample,C:\Users\georg\first_project\.git\hooks,4898,file
pre-receive.sample,C:\Users\georg\first_project\.git\hooks,544,file
prepare-commit-msg.sample,C:\Users\georg\first_project\.git\hooks,1492,file
push-to-checkout.sample,C:\Users\georg\first_project\.git\hooks,2783,file
update.sample,C:\Users\georg\first_project\.git\hooks,3650,file
exclude,C:\Users\georg\first_project\.git\info,240,file
refs,C:\Users\georg\first_project\.git\logs,4694,directory
HEAD,C:\Users\georg\first_project\.git\logs,2922,file
heads,C:\Users\georg\first_project\.git\logs\refs,2922,directory
remotes,C:\Users\georg\first_project\.git\logs\refs,1772,directory
master,C:\Users\georg\first_project\.git\logs\refs\heads,2922,file
